start_year,strategy,strategy_cagr,sp500_cagr,excess_cagr
1990,#2 Only,0.12261623486328066,0.08697917800281241,0.03563705686046825
1990,#3 Only,0.1505209005596051,0.08697917800281241,0.06354172255679269
1990,#4 Only,0.1102943579537865,0.08697917800281241,0.023315179950974096
1990,#5 Only,0.10562810513233667,0.08697917800281241,0.018648927129524262
1990,EQ #2-3,0.14489944365905916,0.08697917800281241,0.05792026565624675
1990,EQ #2-4,0.14061391002187595,0.08697917800281241,0.05363473201906355
1990,EQ #2-5,0.13632596546095788,0.08697917800281241,0.04934678745814547
1990,EQ #3-5,0.1352148892363645,0.08697917800281241,0.04823571123355208
2000,#2 Only,0.0762111252213018,0.06192684412028138,0.014284281101020424
2000,#3 Only,0.13097035190893114,0.06192684412028138,0.06904350778864976
2000,#4 Only,0.11705766866567346,0.06192684412028138,0.05513082454539209
2000,#5 Only,0.08697102608602814,0.06192684412028138,0.02504418196574676
2000,EQ #2-3,0.11107287619914019,0.06192684412028138,0.049146032078858815
2000,EQ #2-4,0.12060450023348235,0.06192684412028138,0.05867765611320097
2000,EQ #2-5,0.11682315528997478,0.06192684412028138,0.0548963111696934
2000,EQ #3-5,0.124578546948511,0.06192684412028138,0.06265170282822963
2010,#2 Only,0.1552157365036857,0.12011586687471687,0.03509986962896883
2010,#3 Only,0.20992742499947337,0.12011586687471687,0.0898115581247565
2010,#4 Only,0.20969493186644073,0.12011586687471687,0.08957906499172386
2010,#5 Only,0.1504266267442842,0.12011586687471687,0.030310759869567327
2010,EQ #2-3,0.18991823077556824,0.12011586687471687,0.06980236390085137
2010,EQ #2-4,0.202565126381695,0.12011586687471687,0.08244925950697812
2010,EQ #2-5,0.19350328405160377,0.12011586687471687,0.0733874171768869
2010,EQ #3-5,0.20109229779444937,0.12011586687471687,0.0809764309197325
2015,#2 Only,0.2153159030361489,0.11488118882600395,0.10043471421014494
2015,#3 Only,0.23483455511586881,0.11488118882600395,0.11995336628986486
2015,#4 Only,0.2590930160567573,0.11488118882600395,0.14421182723075332
2015,#5 Only,0.1731629138806421,0.11488118882600395,0.058281725054638134
2015,EQ #2-3,0.23318977204308688,0.11488118882600395,0.11830858321708293
2015,EQ #2-4,0.24898941901714755,0.11488118882600395,0.1341082301911436
2015,EQ #2-5,0.23464677532265688,0.11488118882600395,0.11976558649665292
2015,EQ #3-5,0.23503916407066905,0.11488118882600395,0.1201579752446651
